"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"FR",2000,0,0,0,0,1695438.761,1695438.761,0
"FR",2001,35085.918706822,51092.4719378979,-39860.6096447201,46317.781,1695438.761,1741756.542,46317.7809999998
"FR",2002,28388.1558906764,125645.899421567,-171723.369312244,-17689.314,1695438.761,1677749.447,-17689.3139999999
"FR",2003,50362.3031762346,67049.3579605454,-62977.3261367802,54434.335,1695438.761,1749873.096,54434.3349999999
"FR",2004,80991.5972801617,2428.56592035627,-79862.320200518,3557.84300000058,1695438.761,1698996.604,3557.84299999994
"FR",2005,109180.897747202,-18507.6838448963,-96093.3239023058,-5420.1100000001,1695438.761,1690018.651,-5420.11000000025
"FR",2006,153478.327733555,-11810.3397218935,-222544.664011661,-80876.6760000002,1695438.761,1614562.085,-80876.676
"FR",2007,206724.780765786,-25690.1698055263,-196611.627960259,-15577.017,1695438.761,1679861.744,-15577.017
"FR",2008,163113.378610353,-137698.775816978,-16989.7147933753,8424.8879999998,1695438.761,1703863.649,8424.88799999985
"FR",2009,32563.9264700191,-107494.82653006,-158487.784939959,-233418.685,1695438.761,1462020.076,-233418.685
"FR",2010,38576.6484239388,-150704.403175414,-93368.9772485243,-205496.732,1695438.761,1489942.029,-205496.732
"FR",2011,69212.9447752081,-117277.995456794,-174241.296318414,-222306.347,1695438.761,1473132.414,-222306.347
"FR",2012,27126.5222868555,-110327.241155765,-191407.80213109,-274608.521,1695438.761,1420830.24,-274608.521
"FR",2013,39165.9733663248,-90552.1708643007,-242974.310502024,-294360.508,1695438.761,1401078.253,-294360.508
"FR",2014,39319.3402495052,19658.3210713768,-421058.738320882,-362081.077,1695438.761,1333357.684,-362081.077
"FR",2015,40384.0970727977,48817.0006030777,-461419.113675876,-372218.016,1695438.761,1323220.745,-372218.016
"FR",2016,40860.1998698027,86150.2386941331,-480481.465563936,-353471.027,1695438.761,1341967.734,-353471.027
"FR",2017,73220.1628221835,71635.4231520659,-521912.956974249,-377057.371,1695438.761,1318381.39,-377057.371
"FR",2018,87614.4465838196,57038.3762006366,-497831.189784456,-353178.367,1695438.761,1342260.394,-353178.367
"FR",2019,119083.129138861,55650.0991489679,-558923.033287829,-384189.805,1695438.761,1311248.956,-384189.805
"FR",2020,2421.42574777077,189478.53830839,-699753.853056161,-507853.889,1695438.761,1187584.872,-507853.889
"FR",2021,81432.4895537016,36334.1579675862,-538957.468521288,-421190.821,1695438.761,1274247.94,-421190.821
