"geo","time","mode","measure","value","value_indexed","value_delta"
"NL",2012,"Road","VKM",NA,NA,NA
"NL",2012,"Road","energy_consumption",450073.169,1.05215314130642,22309.233
"NL",2012,"Road","intensity",NA,NA,NA
"NL",2012,"Road","share_VKM",NA,NA,NA
"NL",2012,"Road","share_energy_consumption",1,1,0
"NL",2012,"Total","VKM",0,0,-1.31766e+11
"NL",2012,"Total","energy_consumption",450073.169,1.05215314130642,22309.233
"NL",2012,"Total","intensity",NA,NA,NA
"NL",2012,"Total","share_VKM",0,0,-1
"NL",2012,"Total","share_energy_consumption",1,1,0
"NL",2013,"Road","VKM",1.31766e+11,1,0
"NL",2013,"Road","energy_consumption",427763.936,1,0
"NL",2013,"Road","intensity",3.24639084437564e-06,1,0
"NL",2013,"Road","share_VKM",1,1,0
"NL",2013,"Road","share_energy_consumption",1,1,0
"NL",2013,"Total","VKM",1.31766e+11,1,0
"NL",2013,"Total","energy_consumption",427763.936,1,0
"NL",2013,"Total","intensity",3.24639084437564e-06,1,0
"NL",2013,"Total","share_VKM",1,1,0
"NL",2013,"Total","share_energy_consumption",1,1,0
"NL",2014,"Road","VKM",1.32198e+11,1.00327853922863,4.32e+08
"NL",2014,"Road","energy_consumption",394774.58,0.922879529516953,-32989.356
"NL",2014,"Road","intensity",2.9862371594124e-06,0.919863720225199,-2.60153684963239e-07
"NL",2014,"Road","share_VKM",1,1,0
"NL",2014,"Road","share_energy_consumption",1,1,0
"NL",2014,"Total","VKM",1.32198e+11,1.00327853922863,4.32e+08
"NL",2014,"Total","energy_consumption",394774.58,0.922879529516953,-32989.356
"NL",2014,"Total","intensity",2.9862371594124e-06,0.919863720225199,-2.60153684963239e-07
"NL",2014,"Total","share_VKM",1,1,0
"NL",2014,"Total","share_energy_consumption",1,1,0
"NL",2015,"Road","VKM",1.34129e+11,1.01793330601217,2.363e+09
"NL",2015,"Road","energy_consumption",398444.472,0.931458775430755,-29319.464
"NL",2015,"Road","intensity",2.9706064460333e-06,0.915048923077104,-2.75784398342339e-07
"NL",2015,"Road","share_VKM",1,1,0
"NL",2015,"Road","share_energy_consumption",1,1,0
"NL",2015,"Total","VKM",1.34129e+11,1.01793330601217,2.363e+09
"NL",2015,"Total","energy_consumption",398444.472,0.931458775430755,-29319.464
"NL",2015,"Total","intensity",2.9706064460333e-06,0.915048923077104,-2.75784398342339e-07
"NL",2015,"Total","share_VKM",1,1,0
"NL",2015,"Total","share_energy_consumption",1,1,0
"NL",2016,"Road","VKM",1.37838e+11,1.04608169026911,6.072e+09
"NL",2016,"Road","energy_consumption",398967.702,0.932681950074445,-28796.234
"NL",2016,"Road","intensity",2.89446815827276e-06,0.891595712601092,-3.5192268610288e-07
"NL",2016,"Road","share_VKM",1,1,0
"NL",2016,"Road","share_energy_consumption",1,1,0
"NL",2016,"Total","VKM",1.37838e+11,1.04608169026911,6.072e+09
"NL",2016,"Total","energy_consumption",398967.702,0.932681950074445,-28796.234
"NL",2016,"Total","intensity",2.89446815827276e-06,0.891595712601092,-3.5192268610288e-07
"NL",2016,"Total","share_VKM",1,1,0
"NL",2016,"Total","share_energy_consumption",1,1,0
